FECHA;TOTAL CASOS;CASOS NUEVOS PCR*;% CRECIMIENTO COVID*;% MEDIA MOVIL 7 DIÂAS*;CASOS RESIDENCIAS;C. RESID. ACTIVOS;PROF. SANITARIOS;P. SANIT. ACTIVOS;AISLAMIENTO DOM.;TOTAL HOSPITALIZADOS;HOSP. VALDECILLA;HOSP. LIENCRES;HOSP. LAREDO;HOSP. SIERRALLANA;HOSP. TRES MARES;HOSPITALIZADOS UCI;UCI HUMV;UCI SIERRALLANA;FALLECIDOS;RECUPERADOS;ACTIVOS;TOTAL TEST;TEST*100.000 HAB.;TEST PCR;TEST*100.000 HAB.;TEST ANTICUERPOS;TEST*100.000 HAB.;TEST ANTICUERPOS +;TEST ANTIGENOS;TEST*100.000 HAB.;TEST ANTIGENOS +;INCIDENCIA AC 14
29/02/2020;1;1;100.00;0.00;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;13;2;13;2;0;0;0;0;0;0;0
01/03/2020;1;0;0.00;0.00;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;13;2;13;2;0;0;0;0;0;0;0
02/03/2020;10;9;900.00;0.00;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;10;23;4;23;4;0;0;0;0;0;0;0
03/03/2020;10;0;0.00;0.00;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;10;47;8;47;8;0;0;0;0;0;0;0
04/03/2020;10;0;0.00;0.00;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;10;71;12;71;12;0;0;0;0;0;0;0
05/03/2020;10;0;0.00;0.00;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;10;75;13;75;13;0;0;0;0;0;0;0
06/03/2020;11;1;10.00;144.29;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;11;79;14;79;14;0;0;0;0;0;0;0
07/03/2020;12;1;9.09;131.30;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;12;84;14;84;14;0;0;0;0;0;0;0
08/03/2020;12;0;0.00;131.30;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;12;89;15;89;15;0;0;0;0;0;0;0
09/03/2020;12;0;0.00;2.73;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;12;96;17;96;17;0;0;0;0;0;0;0
10/03/2020;12;0;0.00;2.73;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;3;9;111;19;111;19;0;0;0;0;0;0;0
