Fecha;Provincia;test_rapidos_total;test_rapidos_positivos;test_antigenos_total;test_antigenos_positivos;pcr_total;pcr_positivos;codigo_ine;total_pruebas;total_pruebas_positivas;test_porcentaje;pcr_porcentaje;porcentaje_total;sigla;antigenos_porcentaje
2021-03-12;Castilla y León;505148;26039;772532;59432;1465387;139990;99999;2743067;225461;5.1547269315131405;9.553107813840302;8.219303429336579;CyL;7
2021-03-11;Castilla y León;504935;26005;770323;59304;1462479;139911;99999;2737737;225220;5.150167843385782;9.566701470585219;8.226502399609604;CyL;7
2021-03-10;Castilla y León;504746;25992;768240;59172;1459858;139862;99999;2732844;225026;5.1495207490500166;9.580520845178093;8.234132647161712;CyL;7
2021-03-09;Castilla y León;504510;25979;766333;59057;1456154;139780;99999;2726997;224816;5.149352837406592;9.599259418990025;8.244086810509877;CyL;7
2021-03-08;Castilla y León;504289;25955;764109;58928;1452481;139692;99999;2720879;224575;5.146850317972432;9.617475202773736;8.253766521774764;CyL;7
2021-03-07;Castilla y León;504091;25935;761986;58824;1449547;139611;99999;2715624;224370;5.144904392262508;9.631353795358136;8.262189463637087;CyL;7
2021-03-06;Castilla y León;504063;25925;761206;58766;1447931;139573;99999;2713200;224264;5.143206305561011;9.6394786768154;8.265664160401002;CyL;7
2021-03-05;Castilla y León;504063;25937;761114;58760;1447347;139568;99999;2712524;224265;5.145586960360114;9.643022716736208;8.267760948843218;CyL;7
2021-03-04;Castilla y León;503850;25915;758025;58571;1443185;139444;99999;2705060;223930;5.1433958519400615;9.662240114746204;8.27818976288881;CyL;7
2021-03-03;Castilla y León;503613;25884;755574;58453;1440319;139362;99999;2699506;223699;5.139660810979859;9.67577321412826;8.286664300801702;CyL;7
2021-03-02;Castilla y León;503382;25873;752931;58317;1437114;139270;99999;2693427;223460;5.139834161730058;9.690950056850047;8.296493649168884;CyL;7
2021-03-01;Castilla y León;503128;25851;750222;58204;1433433;139182;99999;2686783;223237;5.138056319664181;9.709696930376237;8.308709709716043;CyL;7
2021-02-28;Castilla y León;502819;25819;747512;58023;1430715;139116;99999;2681046;222958;5.134849717293897;9.723529843469873;8.316082603580842;CyL;7
2021-02-27;Castilla y León;502818;25819;746791;57962;1428827;139050;99999;2678436;222831;5.134859929437689;9.73175898831699;8.31944463112055;CyL;7
2021-02-26;Castilla y León;502814;25783;745834;57875;1426542;138985;99999;2675190;222643;5.1277410732398065;9.742790608338204;8.322511672068151;CyL;7
2021-02-25;Castilla y León;502507;25797;743320;57690;1423257;138871;99999;2669084;222358;5.133659829614314;9.757268012734173;8.330873063567875;CyL;7
2021-02-24;Castilla y León;502059;25756;740906;57550;1420434;138773;99999;2663399;222079;5.130074353811006;9.769760509816013;8.338179897191521;CyL;7
2021-02-23;Castilla y León;501788;25732;738747;57407;1417115;138669;99999;2657650;221808;5.12806205010881;9.785303239327789;8.34601998005757;CyL;7
2021-02-22;Castilla y León;501436;25705;735752;57207;1412962;138514;99999;2650150;221426;5.126277331503921;9.803094492279339;8.355225175933437;CyL;7
2021-02-21;Castilla y León;500992;25683;732578;57007;1410170;138451;99999;2643740;221141;5.126429164537558;9.818036123304283;8.364703034337719;CyL;7
2021-02-20;Castilla y León;500988;25687;731542;56890;1408169;138381;99999;2640699;220958;5.127268517409599;9.82701650157048;8.367405751280248;CyL;7
2021-02-19;Castilla y León;500978;25683;730154;56789;1405299;138265;99999;2636431;220737;5.126572424337994;9.838831451527398;8.372568825051745;CyL;7
2021-02-18;Castilla y León;500445;25647;726896;56558;1402446;138164;99999;2629787;220369;5.124838893384887;9.851644911818351;8.379728092046998;CyL;7
2021-02-17;Castilla y León;498864;25612;723235;56321;1398982;137997;99999;2621081;219930;5.134064594759293;9.864101182145303;8.390812798230959;CyL;7
2021-02-16;Castilla y León;498371;25584;717849;56095;1394792;137785;99999;2611012;219464;5.133525024529918;9.87853386024583;8.405323299931213;CyL;7
2021-02-15;Castilla y León;497800;25548;714614;55835;1390044;137612;99999;2602458;218995;5.132181599035757;9.899830508962307;8.414929270712534;CyL;7
2021-02-14;Castilla y León;497454;25538;710701;55556;1386918;137503;99999;2595073;218597;5.133741009218943;9.914284766655275;8.423539530487197;CyL;7
2021-02-13;Castilla y León;497423;25538;709612;55451;1384217;137357;99999;2591252;218346;5.134060950137006;9.923082869232209;8.4262742488959;CyL;7
2021-02-12;Castilla y León;497185;25528;708126;55320;1380878;137105;99999;2586189;217953;5.134507275963675;9.92882789066087;8.427574318814287;CyL;7
2021-02-11;Castilla y León;496713;25507;701634;54974;1376273;136858;99999;2574620;217339;5.135158532190621;9.944102659864722;8.441595264543894;CyL;7
2021-02-10;Castilla y León;496099;25469;692993;54604;1371767;136580;99999;2560859;216653;5.133854331494319;9.95650135919584;8.460169029220273;CyL;7
2021-02-09;Castilla y León;495607;25456;687929;54274;1365443;136140;99999;2548979;215870;5.1363277758385175;9.970390561890904;8.468881069636117;CyL;7
2021-02-08;Castilla y León;494728;25415;681744;53839;1359841;135807;99999;2536313;215061;5.137166281269708;9.986976418566583;8.479276808501158;CyL;7
2021-02-07;Castilla y León;494121;25384;669693;53345;1356203;135598;99999;2520017;214327;5.13720323564471;9.998355703386586;8.504982307659036;CyL;7
2021-02-06;Castilla y León;494118;25383;656216;53058;1353273;135383;99999;2503607;213824;5.1370320449771105;10.004115947040988;8.540637568116722;CyL;8
2021-02-05;Castilla y León;494073;25375;636019;52708;1348308;135006;99999;2478400;213089;5.1358807301755;10.012994063670911;8.597845384118786;CyL;8
2021-02-04;Castilla y León;493538;25349;612382;52055;1341727;134461;99999;2447647;211865;5.136179990193257;10.021487232499608;8.65586418302966;CyL;8
2021-02-03;Castilla y León;492809;25314;592235;51394;1335146;133816;99999;2420190;210524;5.136675669478439;10.022574310225249;8.698655890653214;CyL;8
2021-02-02;Castilla y León;492147;25279;573278;50598;1327745;133057;99999;2393170;208934;5.136473452037704;10.021276675867732;8.730428678280273;CyL;8
2021-02-01;Castilla y León;491613;25251;565688;49789;1320079;132372;99999;2377380;207412;5.1363572566225875;10.02758168261142;8.724394080878952;CyL;8
2021-01-31;Castilla y León;491236;25244;554164;48849;1315842;132022;99999;2361242;206115;5.138874186745271;10.033271471802847;8.729092570774194;CyL;8
2021-01-30;Castilla y León;491225;25244;535860;48321;1311898;131613;99999;2338983;205178;5.138989261540027;10.032258605470853;8.772103089248617;CyL;9
2021-01-29;Castilla y León;491133;25227;502192;47533;1305584;130816;99999;2298909;203576;5.136490522933706;10.019730633953849;8.855330941764116;CyL;9
2021-01-28;Castilla y León;490744;25214;479550;46273;1298123;129835;99999;2268417;201322;5.137913046313352;10.001748678669124;8.874999614268454;CyL;9
2021-01-27;Castilla y León;490257;25186;459244;45026;1290279;128904;99999;2239780;199116;5.137305535668027;9.990397425673052;8.889980265918975;CyL;9
2021-01-26;Castilla y León;489815;25164;432788;43566;1281801;127788;99999;2204404;196518;5.137449853516123;9.969410228264762;8.914790573778673;CyL;10
2021-01-25;Castilla y León;494340;25221;414052;41956;1272742;126760;99999;2181134;193937;5.1019541206457095;9.959599038925408;8.891567414014911;CyL;10
2021-01-24;Castilla y León;495003;25239;394431;40536;1267142;126014;99999;2156576;191789;5.098756977230441;9.944741789002338;8.893217767423916;CyL;10
2021-01-23;Castilla y León;493506;25177;379483;39716;1262200;125304;99999;2135189;190197;5.10166036481826;9.92742829979401;8.907736036482017;CyL;10
2021-01-22;Castilla y León;493453;25172;352173;38678;1255270;124271;99999;2100896;188121;5.101195047957961;9.899941845180718;8.954322346275113;CyL;10
2021-01-21;Castilla y León;490087;25098;334550;36883;1247767;123195;99999;2072404;185176;5.12113155419344;9.873237551562111;8.935323421495037;CyL;11
2021-01-20;Castilla y León;488321;25067;317112;35228;1239312;122025;99999;2044745;182320;5.133303708011738;9.846188853170146;8.91651526229432;CyL;11
2021-01-19;Castilla y León;487952;25035;301154;33588;1231215;120826;99999;2020321;179449;5.1306276027150215;9.813558151906857;8.882202382690672;CyL;11
2021-01-18;Castilla y León;487483;25009;290641;31867;1222391;119694;99999;2000515;176570;5.130230182385848;9.791793296907453;8.82622724648403;CyL;10
2021-01-17;Castilla y León;487215;24997;281505;30223;1218207;119145;99999;1986927;174365;5.130589164947713;9.780357525445183;8.775611786442077;CyL;10
2021-01-16;Castilla y León;487201;24996;272664;29326;1213606;118363;99999;1973471;172685;5.1305313412739295;9.753000561961626;8.75031860108408;CyL;10
2021-01-15;Castilla y León;487312;24993;258193;28393;1206747;117414;99999;1952252;170800;5.128747086055751;9.729794231930969;8.748870535156323;CyL;10
2021-01-14;Castilla y León;486894;24979;247574;26766;1200074;116403;99999;1934542;168148;5.130274762063201;9.699651854802287;8.691876423463537;CyL;10
2021-01-13;Castilla y León;486666;24966;237183;25284;1193706;115451;99999;1917555;165701;5.1300070274068865;9.671644441763718;8.64126452696272;CyL;10
2021-01-12;Castilla y León;486415;24939;231738;24008;1187779;114652;99999;1905932;163599;5.127103399360628;9.652637401402114;8.583674548724717;CyL;10
2021-01-11;Castilla y León;486155;24927;226311;22674;1181078;113873;99999;1893544;161474;5.127377071098723;9.641446204230371;8.527607491560799;CyL;10
2021-01-10;Castilla y León;486000;24921;217102;21510;1177737;113453;99999;1880839;159884;5.127777777777777;9.633135411386414;8.500674433058863;CyL;9
2021-01-09;Castilla y León;485990;24921;215099;20975;1174860;113064;99999;1875949;158960;5.127883289779625;9.623614728563403;8.473577906435622;CyL;9
2021-01-08;Castilla y León;485984;24921;212585;20540;1170954;112596;99999;1869523;158057;5.12794659906499;9.615749209618823;8.454402540113174;CyL;9
2021-01-07;Castilla y León;485635;24897;208315;19654;1165975;112144;99999;1859925;156695;5.12668979789348;9.618044983811831;8.4248020753525;CyL;9
2021-01-06;Castilla y León;485357;24890;204802;18951;1163271;111903;99999;1853430;155744;5.128183996522147;9.61968449312327;8.403014950659049;CyL;9
2021-01-05;Castilla y León;485223;24888;200854;18586;1159129;111523;99999;1845206;154997;5.129188022826618;9.62127597532285;8.39998352487473;CyL;9
2021-01-04;Castilla y León;484804;24873;197221;17915;1154235;111110;99999;1836260;153898;5.130526975850034;9.626289273848046;8.381057148769782;CyL;9
2021-01-03;Castilla y León;484530;24865;193750;17397;1151728;110921;99999;1830008;153183;5.131777186139145;9.630832974452302;8.37061914483434;CyL;8
2021-01-02;Castilla y León;484499;24863;191286;17143;1149594;110716;99999;1825379;152722;5.131692738271906;9.630878379671431;8.366591266799936;CyL;8
2021-01-01;Castilla y León;484457;24862;189641;16897;1147858;110598;99999;1821956;152357;5.13193121370937;9.635163931427059;8.362276586262237;CyL;8
2020-12-31;Castilla y León;484449;24861;188035;16691;1146626;110477;99999;1819110;152029;5.13180954032313;9.634963798134702;8.357328583757992;CyL;8
2020-12-30;Castilla y León;484411;24857;186192;16467;1144246;110294;99999;1814849;151618;5.13138636405862;9.639011191649347;8.354303856684496;CyL;8
2020-12-29;Castilla y León;484034;24836;183394;16168;1140902;110067;99999;1808330;151071;5.131044513401951;9.64736673263786;8.354172081423192;CyL;8
2020-12-28;Castilla y León;483618;24806;180858;15925;1137086;109852;99999;1801562;150583;5.1292549077991305;9.660834800533996;8.358468928629712;CyL;8
2020-12-27;Castilla y León;482983;24771;178623;15714;1134631;109766;99999;1796237;150251;5.128751943650191;9.674158382769377;8.36476478326635;CyL;8
2020-12-26;Castilla y León;482926;24769;177726;15621;1132853;109697;99999;1793505;150087;5.128943150710461;9.683251048459066;8.36836250804988;CyL;8
2020-12-25;Castilla y León;482813;24762;176320;15521;1131214;109641;99999;1790347;149924;5.128693717857638;9.692330540463608;8.374019114730274;CyL;8
2020-12-24;Castilla y León;482782;24759;175627;15471;1130061;109584;99999;1788470;149814;5.128401638834919;9.69717563919116;8.37665714269739;CyL;8
2020-12-23;Castilla y León;482675;24752;174357;15376;1127029;109471;99999;1784061;149599;5.1280882581447145;9.713237192654315;8.385307453052333;CyL;8
2020-12-22;Castilla y León;482280;24721;172176;15217;1123594;109320;99999;1778050;149258;5.125860495977441;9.72949303752067;8.394477095694722;CyL;8
2020-12-21;Castilla y León;481819;24694;170109;15113;1120255;109175;99999;1772183;148982;5.125161108216987;9.745549004467732;8.40669389109364;CyL;8
2020-12-20;Castilla y León;481298;24670;167925;15015;1117656;109086;99999;1766879;148771;5.125722525337732;9.760248233803603;8.419988012761486;CyL;8
2020-12-19;Castilla y León;481270;24670;167283;14982;1116071;108997;99999;1764624;148649;5.126020736800548;9.76613495019582;8.423834199240178;CyL;8
2020-12-18;Castilla y León;481229;24667;166239;14897;1113781;108901;99999;1761249;148465;5.125834062369475;9.777595415974954;8.429529271556719;CyL;8
2020-12-17;Castilla y León;480541;24610;163915;14738;1109842;108757;99999;1754298;148105;5.121311188847569;9.799322786486725;8.44240830235228;CyL;8
2020-12-16;Castilla y León;479995;24596;161907;14615;1106589;108604;99999;1748491;147815;5.124220043958791;9.814303232726875;8.453861072204546;CyL;9
2020-12-15;Castilla y León;478231;24436;156541;14180;1095335;107889;99999;1730107;146505;5.109664576323994;9.849863283835539;8.467973368121163;CyL;9
2020-12-14;Castilla y León;477840;24402;154736;14023;1091981;107701;99999;1724557;146126;5.106730286288298;9.862900544972852;8.47324849222148;CyL;9
2020-12-13;Castilla y León;477243;24384;152832;13867;1089490;107577;99999;1719565;145828;5.109346810744212;9.874069518765662;8.480516874907316;CyL;9
2020-12-12;Castilla y León;477237;24384;152133;13789;1087945;107502;99999;1717315;145675;5.109411047341258;9.881198038503785;8.48271866256336;CyL;9
2020-12-11;Castilla y León;477069;24379;151216;13686;1085280;107366;99999;1713565;145431;5.110162261643493;9.892930856553148;8.48704309436759;CyL;9
2020-12-10;Castilla y León;476339;24339;148577;13464;1082448;107185;99999;1707364;144988;5.109596316908757;9.90209229450283;8.491920879203263;CyL;9
2020-12-09;Castilla y León;475543;24311;145878;13251;1078353;106921;99999;1699774;144483;5.112261141474062;9.91521329286421;8.50013001728465;CyL;9
2020-12-08;Castilla y León;474956;24287;143709;13071;1075713;106792;99999;1694378;144150;5.113526305594624;9.927555026294188;8.50754672215999;CyL;9
