fecha;hospital;provincia;nuevos_hospitalizados_planta;hospitalizados_planta;hospitalizados_planta_incluidos_sospecha;nuevos_hospitalizados_uci;hospitalizados_uci;hospitalizados_uci_incluidos_sospecha;porcentaje_ocupacion_uci;nuevas_altas;altas;nuevos_fallecimientos;fallecimientos;codigo_ine;posicion
2021-03-13;Complejo Asistencial Universitario de Burgos;Burgos;6;43;48;0;23;23;0.55;11;2613;3;478;9059;42.383333,-3.666667
2021-03-13;Hospital Santos Reyes;Burgos;0;1;1;0;0;0;0.0;0;358;0;85;9059;42.383333,-3.666667
2021-03-13;Complejo Asistencial Universitario de León;León;3;25;25;0;13;13;0.3;5;3874;0;923;24089;42.666667,-6.0
2021-03-13;Hospital El Bierzo;León;0;2;7;0;8;8;0.57;1;1010;0;197;24089;42.666667,-6.0
2021-03-13;Complejo Asistencial Universitario de Salamanca;Salamanca;7;30;31;1;15;15;0.25;7;3818;2;815;37274;40.833333,-6.0
2021-03-13;Hospital Universitario Río Hortega;Valladolid;2;26;36;0;24;24;0.73;2;3010;0;460;47186;41.583333,-4.666667
2021-03-13;Complejo Asistencial de Zamora;Zamora;0;15;16;0;4;4;0.24;1;1848;0;416;49275;41.75,-6.0
2021-03-13;Hospital Clínico Universitario de Valladolid;Valladolid;2;31;36;0;24;24;0.42;12;2613;2;429;47186;41.583333,-4.666667
2021-03-13;Hospital de Medina del Campo;Valladolid;6;15;15;0;0;0;0.0;2;642;0;95;47186;41.583333,-4.666667
2021-03-13;Edificio Rondilla;Valladolid;0;16;16;0;0;0;0.0;2;356;0;104;47186;41.583333,-4.666667
2021-03-13;Hospital Santiago Apóstol;Burgos;0;8;8;0;0;0;0.0;2;612;1;98;9059;42.383333,-3.666667
2021-03-13;Complejo Asistencial Universitario de Palencia;Palencia;4;18;18;1;16;16;0.8;4;2085;1;424;34120;42.432128,-4.520647
2021-03-13;Complejo Asistencial de Segovia;Segovia;2;13;13;0;12;12;0.75;2;1730;0;352;40004;41.166667,-4.0
2021-03-13;Complejo Asistencial de Ávila;Ávila;0;18;18;0;4;4;0.29;4;1680;0;331;5019;40.616092,-4.929031
2021-03-13;Complejo Asistencial de Soria;Soria;3;41;41;0;13;13;0.93;11;1146;3;267;42173;41.666667,-2.666667
2021-03-12;Complejo Asistencial Universitario de Burgos;Burgos;5;47;55;0;25;25;0.6;5;2602;0;475;9059;42.383333,-3.666667
2021-03-12;Complejo Asistencial Universitario de León;León;0;28;28;1;15;15;0.34;8;3869;3;923;24089;42.666667,-6.0
2021-03-12;Complejo Asistencial Universitario de Palencia;Palencia;5;19;19;0;15;15;0.75;4;2081;1;423;34120;42.432128,-4.520647
2021-03-12;Complejo Asistencial de Segovia;Segovia;1;13;13;0;12;12;0.75;2;1728;0;352;40004;41.166667,-4.0
2021-03-12;Complejo Asistencial de Soria;Soria;3;48;48;0;14;14;1.0;6;1135;2;264;42173;41.666667,-2.666667
2021-03-12;Hospital Clínico Universitario de Valladolid;Valladolid;4;42;46;1;25;25;0.44;1;2601;1;427;47186;41.583333,-4.666667
2021-03-12;Edificio Rondilla;Valladolid;0;17;17;0;0;0;0.0;1;354;0;104;47186;41.583333,-4.666667
2021-03-12;Complejo Asistencial de Zamora;Zamora;2;16;20;0;4;4;0.24;2;1847;0;416;49275;41.75,-6.0
2021-03-12;Hospital Santiago Apóstol;Burgos;1;9;9;0;0;0;0.0;0;610;0;97;9059;42.383333,-3.666667
