FECHA,NUEVOS POSITIVOS,ACUMULADOS 14 DIAS,IA14,ACUMULADOS 7 DIAS,IA7
11/03/2021,6,213,68.7174,95,30.6486
10/03/2021,21,223,71.9436,111,35.8105
09/03/2021,21,214,69.0400,114,36.7783
08/03/2021,14,218,70.3305,119,38.3914
07/03/2021,4,217,70.0079,119,38.3914
06/03/2021,14,217,70.0079,125,40.3271
05/03/2021,15,215,69.3626,123,39.6819
04/03/2021,22,227,73.2340,118,38.0688
03/03/2021,24,213,68.7174,112,36.1331
02/03/2021,26,231,74.5245,100,32.2617
01/03/2021,14,228,73.5567,99,31.9391
28/02/2021,10,244,78.7185,98,31.6165
27/02/2021,12,270,87.1066,92,29.6808
26/02/2021,10,282,90.9780,92,29.6808
25/02/2021,16,316,101.9469,109,35.1652
24/02/2021,12,342,110.3350,101,32.5843
23/02/2021,25,373,120.3361,131,42.2628
22/02/2021,13,414,133.5634,129,41.6176
21/02/2021,4,430,138.7253,146,47.1021
20/02/2021,12,477,153.8883,178,57.4258
19/02/2021,27,524,169.0513,190,61.2972
18/02/2021,8,622,200.6677,207,66.7817
17/02/2021,42,738,238.0913,241,77.7507
16/02/2021,23,901,290.6778,242,78.0733
15/02/2021,30,1169,377.1392,285,91.9458
14/02/2021,36,1224,394.8831,284,91.6232
13/02/2021,24,1323,426.8222,299,96.4625
12/02/2021,44,1422,458.7612,334,107.7540
11/02/2021,42,1706,550.3844,415,133.8860
10/02/2021,43,1902,613.6173,497,160.3406
09/02/2021,66,2245,724.2749,659,212.6045
08/02/2021,29,2470,796.8637,884,285.1933
07/02/2021,51,2675,863.0002,940,303.2599
06/02/2021,59,2781,897.1976,1024,330.3597
05/02/2021,125,2891,932.6854,1088,351.0072
04/02/2021,124,3102,1000.7576,1291,416.4984
03/02/2021,205,3344,1078.8309,1405,453.2767
02/02/2021,291,3513,1133.3532,1586,511.6704
01/02/2021,85,3602,1162.0661,1586,511.6704
31/01/2021,135,3720,1200.1349,1735,559.7403
30/01/2021,123,3648,1176.9064,1757,566.8379
29/01/2021,328,3869,1248.2048,1803,581.6783
28/01/2021,238,3878,1251.1083,1811,584.2592
27/01/2021,386,3833,1236.5906,1939,625.5542
26/01/2021,291,3791,1223.0407,1927,621.6828
25/01/2021,234,3779,1219.1693,2016,650.3957
24/01/2021,157,3677,1186.2623,1985,640.3945
23/01/2021,169,3641,1174.6481,1891,610.0686
22/01/2021,336,3648,1176.9064,2066,666.5265
21/01/2021,366,3534,1140.1281,2067,666.8491
20/01/2021,374,3336,1076.2500,1894,611.0364
19/01/2021,380,3065,988.8208,1864,601.3579
18/01/2021,203,2840,916.2320,1763,568.7736
17/01/2021,63,2707,873.3239,1692,545.8678
16/01/2021,344,2728,880.0989,1750,564.5796
15/01/2021,337,2419,780.4103,1582,510.3799
14/01/2021,193,2148,692.9811,1467,473.2790
13/01/2021,344,2098,676.8502,1442,465.2136
12/01/2021,279,1927,621.6828,1201,387.4629
11/01/2021,132,1759,567.4831,1077,347.4584
