FECHA,PRUEBAS REALIZADAS,POSITIVOS,NEGATIVOS,ACUMULADO POSITIVOS,ACUMULADO NEGATIVOS,TOTAL ACUMULADO
26/02/2020,4,0,4,0,4,4
27/02/2020,3,0,3,0,7,7
28/02/2020,5,0,5,0,12,12
29/02/2020,4,0,4,0,16,16
02/03/2020,19,0,19,0,35,35
03/03/2020,12,2,10,2,45,47
04/03/2020,34,10,24,12,69,81
05/03/2020,51,17,34,29,103,132
06/03/2020,37,9,28,38,131,169
07/03/2020,58,24,34,62,165,227
08/03/2020,58,27,31,89,196,285
09/03/2020,125,58,67,147,263,410
10/03/2020,115,37,78,184,341,525
11/03/2020,160,32,128,216,469,685
12/03/2020,156,41,115,257,584,841
13/03/2020,126,27,99,284,683,967
14/03/2020,73,22,51,306,734,1040
15/03/2020,140,32,108,338,842,1180
16/03/2020,100,48,52,386,894,1280
17/03/2020,184,62,122,448,1016,1464
18/03/2020,131,46,85,494,1101,1595
19/03/2020,153,48,105,542,1206,1748
20/03/2020,141,70,71,612,1277,1889
21/03/2020,216,101,115,713,1392,2105
22/03/2020,161,61,100,774,1492,2266
23/03/2020,246,81,165,855,1657,2512
24/03/2020,247,118,129,973,1786,2759
25/03/2020,338,169,169,1142,1955,3097
26/03/2020,474,237,237,1379,2192,3571
27/03/2020,304,136,168,1515,2360,3875
28/03/2020,425,206,219,1721,2579,4300
29/03/2020,293,88,205,1809,2784,4593
30/03/2020,277,115,162,1924,2946,4870
31/03/2020,490,233,257,2157,3203,5360
01/04/2020,320,90,230,2247,3433,5680
02/04/2020,426,175,251,2422,3684,6106
03/04/2020,437,217,220,2639,3904,6543
04/04/2020,499,132,367,2771,4271,7042
05/04/2020,353,117,236,2888,4507,7395
06/04/2020,507,133,374,3021,4881,7902
07/04/2020,341,141,200,3162,5081,8243
08/04/2020,319,92,227,3254,5308,8562
09/04/2020,470,107,363,3361,5671,9032
10/04/2020,526,124,402,3485,6073,9558
11/04/2020,375,106,269,3591,6342,9933
12/04/2020,667,169,498,3760,6840,10600
13/04/2020,370,65,305,3825,7145,10970
14/04/2020,332,69,263,3894,7408,11302
15/04/2020,479,99,380,3993,7788,11781
16/04/2020,359,78,281,4071,8069,12140
17/04/2020,587,113,474,4184,8543,12727
18/04/2020,334,49,285,4233,8828,13061
19/04/2020,311,30,281,4263,9109,13372
20/04/2020,273,29,244,4292,9353,13645
21/04/2020,681,85,596,4377,9949,14326
22/04/2020,534,72,462,4449,10411,14860
23/04/2020,620,67,553,4516,10964,15480
24/04/2020,1110,70,1040,4586,12004,16590
25/04/2020,830,64,766,4650,12770,17420
26/04/2020,523,29,494,4679,13264,17943
27/04/2020,709,19,690,4698,13954,18652
28/04/2020,790,59,731,4757,14685,19442
29/04/2020,1046,72,974,4829,15659,20488
30/04/2020,753,26,727,4855,16386,21241
01/05/2020,347,13,334,4868,16720,21588
02/05/2020,270,8,262,4876,16982,21858
03/05/2020,254,11,243,4887,17225,22112
04/05/2020,375,14,361,4901,17586,22487
05/05/2020,651,28,623,4929,18209,23138
06/05/2020,656,21,635,4950,18844,23794
07/05/2020,588,50,538,5000,19382,24382
08/05/2020,478,11,467,5011,19849,24860
09/05/2020,488,11,477,5022,20326,25348
10/05/2020,181,2,179,5024,20505,25529
11/05/2020,338,12,326,5036,20831,25867
12/05/2020,432,27,405,5063,21236,26299
13/05/2020,467,14,453,5077,21689,26766
14/05/2020,478,18,460,5095,22149,27244
15/05/2020,438,14,424,5109,22573,27682
16/05/2020,282,6,276,5115,22849,27964
17/05/2020,216,2,214,5117,23063,28180
18/05/2020,203,11,192,5128,23255,28383
19/05/2020,466,16,450,5144,23705,28849
20/05/2020,461,5,456,5149,24161,29310
21/05/2020,413,19,394,5168,24555,29723
22/05/2020,397,4,393,5172,24948,30120
23/05/2020,246,0,246,5172,25194,30366
24/05/2020,204,4,200,5176,25394,30570
25/05/2020,264,8,256,5184,25650,30834
26/05/2020,457,12,445,5196,26095,31291
27/05/2020,386,4,382,5200,26477,31677
28/05/2020,266,8,258,5208,26735,31943
29/05/2020,191,2,189,5210,26924,32134
30/05/2020,294,5,289,5215,27213,32428
31/05/2020,204,2,202,5217,27415,32632
01/06/2020,359,3,356,5220,27771,32991
02/06/2020,416,7,409,5227,28180,33407
03/06/2020,318,4,314,5231,28494,33725
04/06/2020,270,2,268,5233,28762,33995
05/06/2020,306,4,302,5237,29064,34301
06/06/2020,236,4,232,5241,29296,34537
07/06/2020,120,18,102,5259,29398,34657
08/06/2020,253,4,249,5263,29647,34910
09/06/2020,148,2,146,5265,29793,35058
10/06/2020,225,5,220,5270,30013,35283
11/06/2020,84,4,80,5274,30093,35367
12/06/2020,267,4,263,5278,30356,35634
13/06/2020,267,2,265,5280,30621,35901
14/06/2020,171,2,169,5282,30790,36072
15/06/2020,198,3,195,5285,30985,36270
16/06/2020,351,4,347,5289,31332,36621
17/06/2020,281,2,279,5291,31611,36902
18/06/2020,309,3,306,5294,31917,37211
19/06/2020,258,4,254,5298,32171,37469
20/06/2020,314,1,313,5299,32484,37783
21/06/2020,159,0,159,5299,32643,37942
22/06/2020,269,1,268,5300,32911,38211
23/06/2020,362,3,359,5303,33270,38573
24/06/2020,295,3,292,5306,33562,38868
25/06/2020,260,4,256,5310,33818,39128
26/06/2020,316,2,314,5312,34132,39444
27/06/2020,238,0,238,5312,34370,39682
28/06/2020,152,0,152,5312,34522,39834
29/06/2020,299,2,297,5314,34819,40133
30/06/2020,345,2,343,5316,35162,40478
01/07/2020,284,1,283,5317,35445,40762
02/07/2020,230,0,230,5317,35675,40992
03/07/2020,238,1,237,5318,35912,41230
04/07/2020,229,0,229,5318,36141,41459
05/07/2020,145,0,145,5318,36286,41604
06/07/2020,236,1,235,5319,36521,41840
07/07/2020,289,1,288,5320,36809,42129
08/07/2020,286,1,285,5321,37094,42415
09/07/2020,262,2,260,5323,37354,42677
10/07/2020,277,16,261,5339,37615,42954
11/07/2020,223,4,219,5343,37834,43177
12/07/2020,234,5,229,5348,38063,43411
13/07/2020,361,2,359,5350,38422,43772
14/07/2020,438,8,430,5358,38852,44210
15/07/2020,376,2,374,5360,39226,44586
16/07/2020,556,2,554,5362,39780,45142
17/07/2020,429,8,421,5370,40201,45571
18/07/2020,278,4,274,5374,40475,45849
19/07/2020,192,0,192,5374,40667,46041
20/07/2020,435,7,428,5381,41095,46476
21/07/2020,480,28,452,5409,41547,46956
22/07/2020,523,13,510,5422,42057,47479
23/07/2020,548,9,539,5431,42596,48027
24/07/2020,535,18,517,5449,43113,48562
25/07/2020,204,0,204,5449,43317,48766
26/07/2020,247,0,247,5449,43564,49013
27/07/2020,418,2,416,5451,43980,49431
28/07/2020,643,7,636,5458,44616,50074
29/07/2020,525,8,517,5466,45133,50599
30/07/2020,579,12,567,5478,45700,51178
31/07/2020,472,11,461,5489,46161,51650
01/08/2020,191,1,190,5490,46351,51841
02/08/2020,382,6,376,5496,46727,52223
03/08/2020,346,11,335,5507,47062,52569
04/08/2020,409,12,397,5519,47459,52978
05/08/2020,596,12,584,5531,48043,53574
06/08/2020,518,19,499,5550,48542,54092
07/08/2020,415,14,401,5564,48943,54507
08/08/2020,296,10,286,5574,49229,54803
09/08/2020,246,11,235,5585,49464,55049
10/08/2020,466,34,432,5619,49896,55515
11/08/2020,751,45,706,5664,50602,56266
12/08/2020,570,49,521,5713,51123,56836
13/08/2020,647,57,590,5770,51713,57483
14/08/2020,829,92,737,5862,52450,58312
